標題,作者,人氣,日期,連結
Re: [心得] 原來勞動基金投資組長還兼投顧啊？,chungrew,99,11月28日,https://www.ptt.cc/bbs/Stock/M.1606497163.A.8CD.html
Re: [標的] PLTR 跟著索羅斯空Palantir,tu11252007,30,11月28日,https://www.ptt.cc/bbs/Stock/M.1606503819.A.5EC.html
Re: [新聞] 明年人均GDP首度站上3萬美元 新台幣強勢,egnaro123,11,11月28日,https://www.ptt.cc/bbs/Stock/M.1606524809.A.A75.html
Re: [新聞] 明年人均GDP首度站上3萬美元 新台幣強勢,andrew0041,15,11月28日,https://www.ptt.cc/bbs/Stock/M.1606529786.A.5C5.html
[新聞] 韓媒：蘋果新機擬用潛望鏡式鏡頭，三星電,okbom,28,11月28日,https://www.ptt.cc/bbs/Stock/M.1606530543.A.99F.html
[新聞] 災難預言家葛拉漢持續看空美股 今年已遭,a5413eric,60,11月28日,https://www.ptt.cc/bbs/Stock/M.1606531283.A.964.html
Re: [新聞] 明年人均GDP首度站上3萬美元 新台幣強勢,bcyeh,30,11月28日,https://www.ptt.cc/bbs/Stock/M.1606532263.A.452.html
[新聞] 日本央行好神 押寶ETF賺進560億美元,obs11122,爆,11月28日,https://www.ptt.cc/bbs/Stock/M.1606536821.A.F15.html
[請益] 股市線圖技術教學tube,yychiu,8,11月28日,https://www.ptt.cc/bbs/Stock/M.1606537590.A.5E0.html
[新聞] 亞股獲利超級循環 啟動,hvariables,12,11月28日,https://www.ptt.cc/bbs/Stock/M.1606539157.A.EE5.html
[新聞] NOR看漲 外資喊買旺宏、目標價44元,Feyu1078,36,11月28日,https://www.ptt.cc/bbs/Stock/M.1606541698.A.57A.html
Re: [新聞] 三星放話超車台積電 3 奈米，成功機會渺,WESTONE,6,11月28日,https://www.ptt.cc/bbs/Stock/M.1606544418.A.97E.html
[請益] 如果大家都買ETF不買個股？,sadness0830,66,11月28日,https://www.ptt.cc/bbs/Stock/M.1606544453.A.EAF.html
Re: [標的] 2313華通 多,koko147,25,11月28日,https://www.ptt.cc/bbs/Stock/M.1606546560.A.F83.html
Re: [請益] 如果大家都買ETF不買個股？,nomilkman,16,11月28日,https://www.ptt.cc/bbs/Stock/M.1606550096.A.131.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,Yves071,70,11月28日,https://www.ptt.cc/bbs/Stock/M.1606551033.A.C50.html
